#Name stretch stretch_error colour colour_error Bmag Bmag_error MJDMAX
SN1990N  1.081 0.012  0.049  0.013 12.706  0.015 48081.687
SN1991T  1.047 0.019  0.101  0.026 11.468  0.028 48373.951
SN1994D  0.823 0.004 -0.099  0.005 11.775  0.009 49431.517
SN1994ae 1.057 0.014 -0.060  0.016 12.968  0.019 49684.557
SN1995D  1.097 0.014 -0.006  0.015 13.273  0.025 49767.501
SN1996S  0.870 0.021 -0.015  0.017 13.035  0.028 50190.649
SN1998aq 0.965 0.010 -0.146  0.009 12.316  0.009 50930.239
SN1998bu 0.962 0.018  0.270  0.010 12.118  0.013 50952.059
SN1999aa 1.134 0.009 -0.047  0.009 14.755  0.016 51231.837
SN2002cs 1.007 0.013  0.017  0.016 15.138  0.039 52409.236
SN2002dj 0.962 0.013  0.098  0.016 13.974  0.035 52450.323
SN2002er 0.901 0.009  0.123  0.018 14.267  0.057 52524.032
SN2002fk 0.995 0.012 -0.142  0.012 13.152  0.017 52547.282
SN2003du 1.016 0.008 -0.110  0.008 13.476  0.007 52765.477
SN2003hv 0.741 0.021 -0.115  0.014 12.444  0.020 52891.118
SN2004bv 1.146 0.014  0.122  0.013 13.938  0.024 53159.830
SN2004eo 0.863 0.009  0.002  0.014 15.099  0.038 53277.661
SN2005am 0.710 0.019  0.057  0.012 13.698  0.023 53436.975
#SN2005cf 0.968 0.009  0.021  0.013 13.298  0.035 53533.281
SN2005cf 0.968 0.009  0.021  0.013 13.625  0.035 53533.281
SN2006S  0.950 0.010  1.276  0.012 15.241  0.014 53785.937
SN2007af 0.955 0.011  0.058  0.010 13.180  0.015 54173.878
SN2007gi 0.871 0.013  0.097  0.017 13.158  0.016 54327.659
SN2007le 1.028 0.015  0.342  0.014 13.876  0.016 54398.617
SN2007sr 0.970 0.031  0.141  0.016 12.809  0.042 54448.700
SN2008Q  0.803 0.025  0.001  0.018 13.510  0.033 54505.468
SN2009ig 1.136 0.028  0.055  0.019 13.437  0.019 55079.180
SN2009le 1.022 0.022  0.079  0.033 15.351  0.030 55165.159
SN2012cg 1.063 0.011  0.184  0.010 12.128  0.011 56082.025
SN2012fr 1.108 0.008  0.059  0.011 12.017  0.013 56243.682
SN2013cs 1.006 0.010  0.054  0.015 13.659  0.032 56436.949
SN2013dy 1.101 0.007  0.195  0.015 12.824  0.048 56500.646
SN2013gy 0.948 0.008  0.070  0.011 14.742  0.020 56648.605
SN2014J  1.086 0.010  1.251  0.012 11.850  0.012 56689.736
#---------------------------
# from maguire:
SN2011ek 0.90  0.02   0.18   0.04  13.84   0.15  55788.9
SN2012hr 1.018 0.021  0.03   0.01  13.78   0.02  56289.2
SN2013aa 1.146 0.019 -0.05   0.01  11.33   0.05  56344.0
#---------------------------
# from literature (see below):
SN2011fe 0.969 0.010 -0.066  0.021  9.940  0.010 55814.51
SN2011by 0.959 0.019  0.000  0.050 12.89   0.03  55690.6
SN2011iv 0.684 0.020  0.000  0.050 12.53   0.04  55906.0
SN2012ht 0.818 0.025  0.000  0.050 13.22   0.04  56295.6
#SN2013dy 1.141 0.005  0.206  0.005 13.229  0.010 56501.1
#======================================================
#---------------------------
# SN2011fe from Pereira
#   x1 = -0.206 +- 0.071
#SN2011fe 0.969 0.010 -0.066  0.021  9.940  0.010 55814.51
#---------------------------
# SN2011by from Graham 2015
#   dm15 =  1.14 +- 0.03
#   dm15 =  1.09 - 0.161*x1 + 0.013*x1^2 - 0.00130*x1^3
#   x1 = -0.30 +- 0.18
#    s = 0.107*x1 + 0.991
#SN2011by 0.959 0.019  0.000  0.050 12.89   0.03  55690.6
#---------------------------
# SN2011iv from Foley 12b
#   dm15 =  1.69 +- 0.05
#   dm15 =  1.09 - 0.161*x1 + 0.013*x1^2 - 0.00130*x1^3
#   x1 = -2.87 +- 0.19
#    s = 0.107*x1 + 0.991
#SN2011iv 0.684 0.020  0.000  0.050 12.53   0.04  55906.0
#---------------------------
# SN2012ht from Yamanaka 2014
#   dm15 =  1.39 +- 0.05
#   dm15 =  1.09 - 0.161*x1 + 0.013*x1^2 - 0.00130*x1^3
#   x1 = -1.62 +- 0.23
#    s = 0.107*x1 + 0.991
#SN2012ht 0.818 0.025  0.000  0.050 13.22   0.04  56295.6
#---------------------------
# SN2013dy from Pan 2015b
#   dm15 =  0.886 +- 0.006
#   dm15 =  1.09 - 0.161*x1 + 0.013*x1^2 - 0.00130*x1^3
#   x1 = 1.403 +- 0.045
#    s = 0.107*x1 + 0.991
#SN2013dy 1.141 0.005  0.206  0.005 13.229  0.010 56501.1
