SN,MNi,Mej
"",(M ) a⊙,(M ) b⊙
SN1990N,0.514 ± 0.027(0.081),1.437 ± 0.009
SN1991T,1.049 ± 0.106(0.308),1.407 ± 0.019
SN1994ae,0.458 ± 0.013(0.069),1.417 ± 0.013
SN1995D,0.593 ± 0.059(0.165),1.448 ± 0.009
SN1998aq,0.707 ± 0.042(0.127),1.304 ± 0.015
SN1998bu,0.686 ± 0.029(0.292),1.299 ± 0.027
SN1999aa,1.593 ± 0.114(0.238),1.465 ± 0.003
SN2002cs,0.775 ± 0.081(0.130),1.361 ± 0.016
SN2002dj,0.882 ± 0.051(0.176),1.299 ± 0.019
SN2002er,0.344 ± 0.018(0.082),1.202 ± 0.015
SN2002fk,0.625 ± 0.016(0.120),1.346 ± 0.016
SN2003du,0.414 ± 0.022(0.177),1.373 ± 0.010
SN2003hv,0.186 ± 0.003(0.073),0.914 ± 0.037
SN2004bv,1.294 ± 0.040(0.266),1.468 ± 0.003
SN2004eo,0.332 ± 0.011(0.046),1.135 ± 0.016
SN2005cf,0.625 ± 0.044(0.184),1.308 ± 0.013
SN2007af,0.440 ± 0.029(0.071),1.289 ± 0.017
SN2007gi,0.624 ± 0.027(0.248),1.149 ± 0.023
SN2007le,0.549 ± 0.033(0.202),1.387 ± 0.017
SN2007sr,0.609 ± 0.027(0.107),1.311 ± 0.045
SN2009le,0.673 ± 0.065(0.102),1.380 ± 0.026
SN2011by,0.582 ± 0.082(0.119),1.295 ± 0.029
SN2011fe,0.500 ± 0.026(0.069),1.310 ± 0.015
SN2011iv,0.349 ± 0.046(0.122),0.818 ± 0.032
SN2012cg,0.479 ± 0.048(0.309),1.422 ± 0.010
SN2012fr,0.670 ± 0.043(0.287),1.454 ± 0.004
SN2012hr,0.328 ± 0.008(0.084),1.375 ± 0.025
SN2013aa,1.658 ± 0.091(0.717),1.468 ± 0.004
SN2013cs,0.757 ± 0.094(0.174),1.360 ± 0.013
SN2013dy,0.608 ± 0.047(0.137),1.450 ± 0.004
SN2013gy,0.950 ± 0.075(0.159),1.278 ± 0.012
SN2014J,0.837 ± 0.176(0.250),1.441 ± 0.007
